datetime,cpu,mem
Thu Aug  6 10:10:59 GMT 2020,6.2,109380
Thu Aug  6 10:10:59 GMT 2020,6.2,110927
Thu Aug  6 10:10:59 GMT 2020,6.2,110971
Thu Aug  6 10:11:00 GMT 2020,6.2,117244
Thu Aug  6 10:11:00 GMT 2020,6.2,117685
Thu Aug  6 10:11:01 GMT 2020,6.2,117680
Thu Aug  6 10:11:01 GMT 2020,6.2,117679
Thu Aug  6 10:11:01 GMT 2020,6.2,117676
Thu Aug  6 10:11:02 GMT 2020,6.2,117676
Thu Aug  6 10:11:02 GMT 2020,6.2,117676
Thu Aug  6 10:11:03 GMT 2020,6.2,117672
Thu Aug  6 10:11:03 GMT 2020,6.2,117676
Thu Aug  6 10:11:03 GMT 2020,6.2,117676
Thu Aug  6 10:11:04 GMT 2020,6.2,97391
Thu Aug  6 10:11:04 GMT 2020,6.2,97393
Thu Aug  6 10:11:04 GMT 2020,6.2,98102
Thu Aug  6 10:11:05 GMT 2020,6.2,108731
Thu Aug  6 10:11:05 GMT 2020,6.2,108752
Thu Aug  6 10:11:05 GMT 2020,25,83813
Thu Aug  6 10:11:06 GMT 2020,25,100580
Thu Aug  6 10:11:06 GMT 2020,25,88191
Thu Aug  6 10:11:06 GMT 2020,25,105678
Thu Aug  6 10:11:07 GMT 2020,25,105517
Thu Aug  6 10:11:07 GMT 2020,25,105810
Thu Aug  6 10:11:08 GMT 2020,25,105794
Thu Aug  6 10:11:08 GMT 2020,25,137371
Thu Aug  6 10:11:08 GMT 2020,25,105987
Thu Aug  6 10:11:09 GMT 2020,25,105831
Thu Aug  6 10:11:09 GMT 2020,25,72432
Thu Aug  6 10:11:10 GMT 2020,25,72356
Thu Aug  6 10:11:10 GMT 2020,0,71759
Thu Aug  6 10:11:11 GMT 2020,0,71818
Thu Aug  6 10:11:11 GMT 2020,0,89780
Thu Aug  6 10:11:11 GMT 2020,0,98184
Thu Aug  6 10:11:12 GMT 2020,0,115529
Thu Aug  6 10:11:13 GMT 2020,0,117882
Thu Aug  6 10:11:13 GMT 2020,0,118454
Thu Aug  6 10:11:14 GMT 2020,0,118968
Thu Aug  6 10:11:14 GMT 2020,0,118520
Thu Aug  6 10:11:15 GMT 2020,0,118536
Thu Aug  6 10:11:16 GMT 2020,0,118540
Thu Aug  6 10:11:16 GMT 2020,0,118544
Thu Aug  6 10:11:17 GMT 2020,0.1,118466
Thu Aug  6 10:11:17 GMT 2020,0.1,109574
Thu Aug  6 10:11:18 GMT 2020,0.1,128153
Thu Aug  6 10:11:18 GMT 2020,0.1,128185
Thu Aug  6 10:11:19 GMT 2020,0.1,128185
Thu Aug  6 10:11:19 GMT 2020,0.1,126257
Thu Aug  6 10:11:20 GMT 2020,0.1,126273
Thu Aug  6 10:11:21 GMT 2020,0.1,126277
Thu Aug  6 10:11:21 GMT 2020,0.1,126206
Thu Aug  6 10:11:22 GMT 2020,25,92318
Thu Aug  6 10:11:22 GMT 2020,25,91858
Thu Aug  6 10:11:23 GMT 2020,25,91853
Thu Aug  6 10:11:23 GMT 2020,25,126170
Thu Aug  6 10:11:24 GMT 2020,25,125637
Thu Aug  6 10:11:24 GMT 2020,25,124989
Thu Aug  6 10:11:25 GMT 2020,25,125005
Thu Aug  6 10:11:26 GMT 2020,25,125013
Thu Aug  6 10:11:26 GMT 2020,25,125017
Thu Aug  6 10:11:27 GMT 2020,25,125017
Thu Aug  6 10:11:27 GMT 2020,25,125017
Thu Aug  6 10:11:28 GMT 2020,25,125016
Thu Aug  6 10:11:28 GMT 2020,22,91541
Thu Aug  6 10:11:29 GMT 2020,22,90873
Thu Aug  6 10:11:29 GMT 2020,22,90765
Thu Aug  6 10:11:30 GMT 2020,22,107868
Thu Aug  6 10:11:30 GMT 2020,22,109040
Thu Aug  6 10:11:31 GMT 2020,22,127144
Thu Aug  6 10:11:31 GMT 2020,22,127088
Thu Aug  6 10:11:32 GMT 2020,22,127088
Thu Aug  6 10:11:32 GMT 2020,22,127015
Thu Aug  6 10:11:33 GMT 2020,22,93288
Thu Aug  6 10:11:33 GMT 2020,22,92948
