STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",3695729,0,1,3,True
"TfprPrefetchingStrategy",1250,0,0,0,True
"TfprPrefetchingStrategy",1667,0,0,0,True
"TfprPrefetchingStrategy",1615,0,0,0,True
"TfprPrefetchingStrategy",1718,0,0,0,True
"TfprPrefetchingStrategy",2813,0,0,0,True
"TfprPrefetchingStrategy",1612552,0,1,3,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",1299375,0,1,3,True
"TfprPrefetchingStrategy",1674792,0,1,3,True
"TfprPrefetchingStrategy",1042,0,0,0,True
"TfprPrefetchingStrategy",2031,0,0,0,True
"TfprPrefetchingStrategy",2064114,0,1,3,True
"TfprPrefetchingStrategy",1510,0,0,0,True
"TfprPrefetchingStrategy",1865937,0,1,3,True
"TfprPrefetchingStrategy",1216146,0,1,3,True
"TfprPrefetchingStrategy",1718,0,0,0,True
"TfprPrefetchingStrategy",2847239,0,1,3,True
"TfprPrefetchingStrategy",2917,0,0,0,True
"TfprPrefetchingStrategy",2845677,0,1,3,True
"TfprPrefetchingStrategy",1096614,0,0,1,True
"TfprPrefetchingStrategy",1091823,0,0,1,True
"TfprPrefetchingStrategy",2448,0,0,0,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",1374062,0,1,3,True
"TfprPrefetchingStrategy",1719,0,0,0,True
