STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1484792,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",276302,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",459479,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62448,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",162500,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40521,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",159271,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35313,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",180625,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",89531,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",178698,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",29323,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",275625,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",280208,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",30937,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",267448,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40521,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56823,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",73489,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",307135,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63282,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",374115,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",256614,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",34115,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",190104,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68229,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",181094,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",106406,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",190209,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",33073,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",160156,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43385,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",246615,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",181666,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45520,0,0,0,True
