Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
36,2486216,37,0,0,96,33
97,2486764,97,0,0,196,40
197,2487352,197,0,0,296,27
297,2487836,297,0,0,398,12
399,2487456,400,0,0,498,22
499,2487312,500,0,0,598,20
599,2488460,600,0,0,701,17
703,2488460,704,0,0,804,15
806,2487664,807,0,0,903,9
905,2487768,906,0,0,1001,20
1002,2488848,1003,0,0,1104,18
1106,2488964,1107,0,0,1204,15
1207,2488812,1208,0,0,1308,6
1310,2489092,1312,0,0,1404,23
1405,2489444,1405,0,0,1507,14
1509,2489444,1510,0,0,1608,12
1611,2488856,1613,0,0,1707,10
1708,2489096,1709,0,0,1807,18
1808,2490304,1809,0,0,1909,18
1911,2490100,1912,0,0,2010,14
2012,2489144,2013,0,0,2110,6
2112,2489432,2113,0,0,2209,14
2210,2490164,2210,0,0,2312,15
2314,2490164,2316,0,0,2412,15
2414,2489628,2415,0,0,2514,5
2517,2489608,2519,0,0,2611,16
2615,2490144,2616,0,0,2711,18
2713,2490452,2713,0,0,2814,12
2816,2490452,2817,0,0,2915,8
2917,2489580,2919,0,0,3013,16
3015,2490248,3015,0,0,3113,12
3114,2490320,3114,0,0,3214,16
3216,2490592,3217,0,0,3316,6
3318,2489800,3319,0,0,3417,11
3419,2490516,3419,0,0,3520,18
3522,2491220,3524,0,0,3619,19
3622,2491220,3623,0,0,3717,19
3718,2490424,3719,0,0,3820,39
3821,2491020,3822,0,0,3917,41
3918,2490280,3919,0,0,4020,20
4022,2490216,4023,0,0,4120,20
4122,2489196,4123,0,0,4219,33
4219,2491624,4220,0,0,4319,28
4320,2492872,4320,0,0,4422,13
4425,2491880,4425,0,0,4520,17
4520,2492668,4521,0,0,4620,30
4621,2505480,4621,0,0,4720,29
4721,2503216,4721,0,0,4821,17
4823,2486452,4823,0,0,4922,26
4924,2493044,4924,0,0,5021,17
5022,2492652,5022,0,0,5122,12
5124,2493116,5124,0,0,5223,32
