STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1031614,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",338541,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",270000,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",74063,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",410885,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65000,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",397239,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56510,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65834,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",463854,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",480469,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52240,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57917,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59479,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65729,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54531,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61614,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57396,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65729,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",118334,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",79687,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",100990,0,0,0,True
