STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",2863386,0,0,3,True
"TfprPrefetchingStrategy",1341875,0,1,1,True
"TfprPrefetchingStrategy",811563,1,1,1,True
"TfprPrefetchingStrategy",1041,0,0,0,True
"TfprPrefetchingStrategy",1132240,1,1,1,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",1138385,1,1,1,True
"TfprPrefetchingStrategy",2344,0,0,0,True
"TfprPrefetchingStrategy",1037812,1,1,1,True
"TfprPrefetchingStrategy",1927,0,0,0,True
"TfprPrefetchingStrategy",920313,1,1,1,True
"TfprPrefetchingStrategy",2343,0,0,0,True
"TfprPrefetchingStrategy",1178177,1,1,1,True
"TfprPrefetchingStrategy",1046979,1,1,1,True
"TfprPrefetchingStrategy",1459,0,0,0,True
"TfprPrefetchingStrategy",1463958,0,1,2,True
"TfprPrefetchingStrategy",1250,0,0,0,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",2240,0,0,0,True
"TfprPrefetchingStrategy",1328073,0,1,2,True
"TfprPrefetchingStrategy",1562,0,0,0,True
"TfprPrefetchingStrategy",893282,0,1,1,True
"TfprPrefetchingStrategy",992656,0,1,1,True
"TfprPrefetchingStrategy",1407,0,0,0,True
"TfprPrefetchingStrategy",2058594,0,1,1,True
"TfprPrefetchingStrategy",1459,0,0,0,True
"TfprPrefetchingStrategy",1062969,0,1,1,True
"TfprPrefetchingStrategy",1563,0,0,0,True
"TfprPrefetchingStrategy",1172865,0,1,1,True
"TfprPrefetchingStrategy",886,0,0,0,True
"TfprPrefetchingStrategy",1110157,0,1,1,True
"TfprPrefetchingStrategy",1146,0,0,0,True
"TfprPrefetchingStrategy",1353438,0,1,1,True
"TfprPrefetchingStrategy",1139114,0,1,1,True
"TfprPrefetchingStrategy",989,0,0,0,True
