Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
3,2242700,3,4011,0,75,29
76,2242796,76,4011,0,176,26
177,2243316,177,4011,0,277,20
277,2243316,278,4011,0,376,18
377,2243532,378,4011,0,477,30
478,2243956,479,4011,0,577,64
578,2248432,579,4011,0,679,41
680,2261576,681,4011,0,779,35
781,2266828,782,4011,0,881,24
883,2268816,885,4011,0,980,22
981,2268896,982,4011,0,1080,50
1081,2269940,1082,4011,0,1180,42
1181,2272548,1181,4011,0,1280,42
1281,2297872,1281,4011,0,1381,39
1381,2298136,1382,4011,0,1482,29
1483,2298912,1484,4011,0,1582,35
1582,2298768,1583,4011,0,1684,35
1686,2298968,1687,4011,0,1785,22
1787,2298376,1789,4011,0,1885,21
1886,2298384,1887,4011,0,1985,22
1986,2298928,1986,4011,0,2087,20
2089,2298928,2091,4011,0,2189,20
2191,2298632,2192,4011,0,2290,11
2293,2298336,2295,4011,0,2389,15
2390,2298800,2392,4011,0,2488,25
2490,2299160,2491,4011,0,2589,21
2590,2299304,2590,4011,0,2691,25
2692,2298608,2693,4011,0,2793,9
2796,2298608,2797,4011,0,2890,16
2891,2298988,2892,4011,0,2992,21
2994,2299588,2995,4010,0,3093,21
3095,2299588,3096,4010,0,3194,21
3196,2299156,3197,4010,0,3296,8
3300,2299156,3302,4010,0,3393,21
3394,2299536,3395,4010,0,3494,22
3495,2299912,3496,4010,0,3596,18
3598,2299892,3600,4010,0,3695,32
3696,2299740,3696,4010,0,3795,24
3796,2299796,3797,4010,0,3895,37
3896,2301416,3897,4010,0,3997,50
3999,2301912,4001,4010,0,4098,44
4100,2302372,4101,4010,0,4197,28
4199,2307312,4200,4010,0,4297,57
4298,2321704,4299,4010,0,4398,60
4399,2321568,4399,4010,0,4498,35
4499,2305532,4499,4010,0,4599,9
4600,2304444,4601,4010,0,4699,43
4700,2300400,4700,4010,0,4800,69
4801,2301832,4802,4010,0,4901,32
4902,2301832,4903,4010,0,5001,20
5002,2300868,5003,4010,0,5102,21
5103,2301396,5103,4010,0,5202,31
5203,2302364,5203,4010,0,5302,30
5303,2302628,5304,4010,0,5402,42
5403,2301868,5404,4010,0,5503,26
5504,2301868,5504,4010,0,5603,35
5604,2304104,5605,4010,0,5703,18
5704,2304104,5705,4010,0,5804,25
5805,2302856,5805,4010,0,5904,11
5905,2302252,5906,4010,0,6005,24
6005,2302852,6006,4010,0,6104,67
6105,2306728,6105,4010,0,6205,50
6205,2309616,6206,4010,0,6305,16
6306,2309172,6306,4010,0,6406,11
6407,2309436,6407,4010,0,6506,20
6507,2310540,6508,4010,0,6608,20
6611,2310388,6612,4010,0,6707,20
6708,2310376,6708,4010,0,6807,19
6808,2310080,6809,4010,0,6908,8
6908,2310080,6909,4010,0,7008,23
7009,2310664,7010,4010,0,7109,25
7110,2311492,7110,4010,0,7209,24
7210,2311492,7211,4010,0,7310,19
7311,2310744,7311,4010,0,7412,11
7412,2310844,7413,4010,0,7511,18
7512,2310916,7513,4010,0,7612,22
7613,2311416,7614,4010,0,7713,20
7713,2311384,7714,4010,0,7813,22
7814,2310928,7814,4010,0,7914,5
7915,2310772,7916,4010,0,8014,21
8015,2311540,8015,4010,0,8116,21
8117,2312100,8118,4010,0,8216,24
8216,2312100,8217,4010,0,8316,21
8317,2312100,8317,4010,0,8419,3
8421,2311064,8422,4010,0,8517,21
8518,2311968,8519,4010,0,8617,22
8618,2311948,8620,4010,0,8720,24
8722,2312068,8723,4010,0,8820,20
8822,2312068,8823,4010,0,8921,11
8923,2311328,8924,4010,0,9021,20
9023,2311672,9024,4010,0,9123,24
9124,2312328,9126,4010,0,9223,24
9225,2312328,9226,4010,0,9324,20
9325,2312328,9327,4010,0,9424,12
9426,2311132,9427,4010,0,9524,13
9526,2311308,9527,4010,0,9623,25
9624,2312132,9624,4010,0,9724,18
9726,2311984,9726,4010,0,9825,18
9827,2311984,9828,4010,0,9926,18
9928,2311384,9930,4010,0,10028,16
10031,2311816,10032,4010,0,10126,19
10127,2312212,10127,4010,0,10226,18
10228,2312212,10228,4010,0,10329,20
10331,2312360,10332,4010,0,10431,15
10433,2311472,10434,4010,0,10530,8
10533,2311356,10534,4010,0,10628,25
10629,2312152,10630,4010,0,10731,21
10734,2312152,10735,4010,0,10831,25
10832,2306232,10834,4010,0,10932,20
10934,2305640,10936,4010,0,11034,8
11037,2305640,11038,4010,0,11131,24
11132,2306136,11133,4010,0,11231,41
11235,2307692,11236,4010,0,11331,43
11332,2312236,11333,4010,0,11432,21
11433,2312104,11434,4010,0,11532,32
11534,2313224,11534,4010,0,11633,27
11634,2310160,11634,4010,0,11735,17
11737,2310160,11739,4010,0,11836,22
11838,2310160,11839,4010,0,11938,8
11943,2309716,11945,4010,0,12036,22
12037,2310500,12038,4010,0,12137,22
12139,2310488,12140,4010,0,12238,18
12240,2310672,12242,4010,0,12339,24
12342,2310920,12343,4010,0,12441,11
12445,2309884,12447,4010,0,12538,19
12540,2310240,12541,4010,0,12638,25
12639,2310952,12640,4010,0,12739,35
12741,2311692,12742,4010,0,12841,37
12843,2312188,12844,4010,0,12942,33
12945,2312360,12946,4010,0,13040,36
13041,2313144,13042,4010,0,13141,36
13143,2313644,13144,4010,0,13243,39
13245,2314980,13246,4010,0,13342,37
13344,2315876,13344,4010,0,13441,15
13443,2315952,13443,4010,0,13542,22
13543,2316868,13543,4010,0,13643,37
13645,2311728,13645,4010,0,13743,73
13744,2315588,13745,4010,0,13843,16
13844,2314700,13845,4010,0,13945,18
13945,2315120,13946,4010,0,14045,25
14045,2315280,14046,4010,0,14145,35
14146,2316036,14146,4010,0,14246,33
14246,2315668,14247,4010,0,14347,24
14348,2315488,14349,4010,0,14447,33
14447,2317500,14448,4010,0,14547,31
14548,2317324,14548,4010,0,14647,33
14648,2317552,14649,4010,0,14748,24
14749,2317256,14749,4010,0,14848,8
14849,2317468,14849,4010,0,14949,22
14950,2317492,14950,4010,0,15050,0
15052,2316828,15053,4010,0,15150,29
15151,2316680,15152,4010,0,15251,27
15252,2316828,15252,4010,0,15351,10
15352,2316236,15352,4010,0,15452,23
15454,2316264,15455,4010,0,15552,32
15553,2317212,15553,4010,0,15652,29
15653,2317240,15654,4010,0,15753,30
15754,2317436,15754,4010,0,15853,27
15854,2317288,15855,4010,0,15957,0
15960,2316696,15962,4010,0,16054,36
16055,2317152,16056,4010,0,16155,28
16157,2317460,16157,4010,0,16256,28
16257,2317696,16258,4010,0,16356,34
16357,2315576,16357,4010,0,16456,29
16457,2315576,16458,4010,0,16562,9
16566,2315372,16568,4010,0,16657,50
16658,2321384,16659,4010,0,16757,59
16758,2331952,16759,4010,0,16859,47
16860,2314404,16861,4010,0,16959,28
16960,2314404,16961,4010,0,17059,25
17061,2313956,17062,4010,0,17161,16
17163,2313956,17164,4010,0,17260,35
17261,2313964,17262,4010,0,17361,30
17363,2314180,17363,4010,0,17461,30
17462,2314428,17463,4010,0,17562,30
17563,2314428,17563,4010,0,17663,19
17665,2313984,17666,4010,0,17764,16
17766,2314292,17768,4010,0,17864,31
17866,2314324,17867,4010,0,17964,31
17966,2314576,17966,4010,0,18064,0
18065,2314768,18065,4010,0,18167,21
18169,2314768,18170,4010,0,18267,15
18269,2314944,18270,4010,0,18367,16
18369,2315552,18370,4010,0,18466,23
18468,2315828,18468,4010,0,18567,20
18568,2315908,18568,4010,0,18668,20
18670,2315908,18671,4010,0,18772,14
18775,2315368,18777,4010,0,18869,11
18870,2316008,18871,4010,0,18968,23
18969,2316664,18970,4010,0,19071,27
19073,2316872,19074,4010,0,19172,22
19174,2316872,19175,4010,0,19274,18
19276,2316564,19278,3340,0,19372,13
19374,2316732,19375,3340,0,19471,27
19472,2317516,19473,3340,0,19572,22
19574,2317588,19574,3340,0,19674,20
19676,2317684,19678,3340,0,19775,20
19776,2316796,19777,3340,0,19876,8
19879,2316840,19880,3340,0,19975,22
19976,2317516,19976,3340,0,20077,22
20079,2317956,20080,3340,0,20177,23
20179,2318208,20181,3340,0,20279,26
20281,2318208,20283,3340,0,20380,8
20383,2317312,20385,3340,0,20477,16
20479,2318064,20479,3340,0,20578,22
20580,2317832,20580,3340,0,20680,22
20682,2317916,20683,3340,0,20781,22
20783,2317916,20784,3340,0,20831,26
20833,2317324,20834,3340,0,20931,19
20933,2315324,20934,3340,0,21030,34
21031,2316264,21032,3340,0,21134,18
21141,2316264,21144,3340,0,21234,25
21236,2316264,21237,3340,0,21334,16
21336,2315080,21337,3340,0,21434,9
21437,2315476,21438,3340,0,21533,22
21534,2316280,21535,3340,0,21637,17
21640,2316260,21641,3340,0,21736,34
21738,2316228,21739,3340,0,21837,18
21840,2315636,21841,3340,0,21938,8
21941,2315636,21942,3340,0,22036,22
22038,2316236,22039,3340,0,22136,25
22138,2316504,22139,3340,0,22239,22
22241,2316504,22243,3340,0,22339,24
22343,2315912,22344,3340,0,22442,11
22444,2315912,22446,3340,0,22541,18
22543,2316500,22543,3340,0,22641,21
