datetime,cpu,mem
Thu Aug  6 15:40:35 GMT 2020,1,102918
Thu Aug  6 15:40:35 GMT 2020,1,106869
Thu Aug  6 15:40:36 GMT 2020,1,107301
Thu Aug  6 15:40:36 GMT 2020,1,107285
Thu Aug  6 15:40:36 GMT 2020,1,107285
Thu Aug  6 15:40:37 GMT 2020,1,107309
Thu Aug  6 15:40:37 GMT 2020,1,107309
Thu Aug  6 15:40:38 GMT 2020,1,107309
Thu Aug  6 15:40:38 GMT 2020,1,107305
Thu Aug  6 15:40:39 GMT 2020,1,107305
Thu Aug  6 15:40:39 GMT 2020,1,107305
Thu Aug  6 15:40:39 GMT 2020,1,106849
Thu Aug  6 15:40:40 GMT 2020,1,106819
Thu Aug  6 15:40:40 GMT 2020,0,109650
Thu Aug  6 15:40:41 GMT 2020,0,109875
Thu Aug  6 15:40:41 GMT 2020,0,110661
Thu Aug  6 15:40:41 GMT 2020,0,115680
Thu Aug  6 15:40:42 GMT 2020,0,117967
Thu Aug  6 15:40:42 GMT 2020,0,118339
Thu Aug  6 15:40:43 GMT 2020,0,118279
Thu Aug  6 15:40:43 GMT 2020,0,118280
Thu Aug  6 15:40:44 GMT 2020,0,118280
Thu Aug  6 15:40:44 GMT 2020,0,118280
Thu Aug  6 15:40:45 GMT 2020,0,117636
Thu Aug  6 15:40:45 GMT 2020,0,117656
Thu Aug  6 15:40:46 GMT 2020,0,117656
Thu Aug  6 15:40:46 GMT 2020,0,117660
Thu Aug  6 15:40:47 GMT 2020,0,117666
Thu Aug  6 15:40:47 GMT 2020,0,117666
Thu Aug  6 15:40:48 GMT 2020,0,117666
Thu Aug  6 15:40:48 GMT 2020,0,117666
Thu Aug  6 15:40:49 GMT 2020,0,117666
Thu Aug  6 15:40:49 GMT 2020,0,117666
Thu Aug  6 15:40:50 GMT 2020,0,117666
Thu Aug  6 15:40:50 GMT 2020,0,117638
Thu Aug  6 15:40:51 GMT 2020,0,117653
Thu Aug  6 15:40:51 GMT 2020,334,120718
Thu Aug  6 15:40:51 GMT 2020,334,166426
Thu Aug  6 15:40:52 GMT 2020,334,187425
Thu Aug  6 15:40:52 GMT 2020,334,189063
Thu Aug  6 15:40:53 GMT 2020,334,189308
Thu Aug  6 15:40:54 GMT 2020,334,188314
Thu Aug  6 15:40:54 GMT 2020,334,188674
Thu Aug  6 15:40:55 GMT 2020,334,188516
Thu Aug  6 15:40:56 GMT 2020,334,188580
Thu Aug  6 15:40:57 GMT 2020,334,188613
Thu Aug  6 15:40:58 GMT 2020,334,188653
Thu Aug  6 15:40:59 GMT 2020,334,188710
Thu Aug  6 15:41:00 GMT 2020,0.2,188930
Thu Aug  6 15:41:00 GMT 2020,0.2,188930
Thu Aug  6 15:41:01 GMT 2020,0.2,188618
Thu Aug  6 15:41:02 GMT 2020,0.2,188638
Thu Aug  6 15:41:02 GMT 2020,0.2,188642
Thu Aug  6 15:41:03 GMT 2020,0.2,188604
Thu Aug  6 15:41:04 GMT 2020,0.2,187839
Thu Aug  6 15:41:04 GMT 2020,0.2,187098
Thu Aug  6 15:41:05 GMT 2020,0.2,188434
Thu Aug  6 15:41:06 GMT 2020,0.2,187561
Thu Aug  6 15:41:06 GMT 2020,0.1,172829
Thu Aug  6 15:41:07 GMT 2020,0.1,193067
Thu Aug  6 15:41:08 GMT 2020,0.1,193591
Thu Aug  6 15:41:09 GMT 2020,0.1,193991
Thu Aug  6 15:41:09 GMT 2020,0.1,194131
Thu Aug  6 15:41:10 GMT 2020,0.1,194107
Thu Aug  6 15:41:11 GMT 2020,0.1,193727
Thu Aug  6 15:41:12 GMT 2020,0.1,193019
Thu Aug  6 15:41:12 GMT 2020,0.1,193015
Thu Aug  6 15:41:13 GMT 2020,0.1,190788
Thu Aug  6 15:41:14 GMT 2020,0.1,191514
Thu Aug  6 15:41:15 GMT 2020,0.1,192279
Thu Aug  6 15:41:16 GMT 2020,0.1,177724
Thu Aug  6 15:41:16 GMT 2020,0.1,193361
Thu Aug  6 15:41:17 GMT 2020,0.1,193433
Thu Aug  6 15:41:18 GMT 2020,0.1,193573
Thu Aug  6 15:41:19 GMT 2020,0.1,193577
Thu Aug  6 15:41:19 GMT 2020,0.1,193581
Thu Aug  6 15:41:20 GMT 2020,0.1,193585
Thu Aug  6 15:41:21 GMT 2020,0.1,193601
Thu Aug  6 15:41:22 GMT 2020,0.1,193377
Thu Aug  6 15:41:22 GMT 2020,0.1,193541
Thu Aug  6 15:41:23 GMT 2020,0.1,193533
Thu Aug  6 15:41:24 GMT 2020,0.1,193549
Thu Aug  6 15:41:25 GMT 2020,0.1,193573
Thu Aug  6 15:41:25 GMT 2020,0.1,193523
Thu Aug  6 15:41:26 GMT 2020,0.1,194198
Thu Aug  6 15:41:27 GMT 2020,0.1,180701
Thu Aug  6 15:41:27 GMT 2020,0.1,198891
Thu Aug  6 15:41:28 GMT 2020,0.1,199851
Thu Aug  6 15:41:29 GMT 2020,0.1,199767
Thu Aug  6 15:41:30 GMT 2020,0.1,199791
Thu Aug  6 15:41:30 GMT 2020,0.1,198979
Thu Aug  6 15:41:31 GMT 2020,0.1,244926
Thu Aug  6 15:41:32 GMT 2020,0.1,198690
Thu Aug  6 15:41:33 GMT 2020,0.1,198474
Thu Aug  6 15:41:34 GMT 2020,0.1,198022
Thu Aug  6 15:41:34 GMT 2020,0.1,198854
Thu Aug  6 15:41:35 GMT 2020,0.1,199405
Thu Aug  6 15:41:36 GMT 2020,0.1,200201
Thu Aug  6 15:41:37 GMT 2020,0.1,199753
Thu Aug  6 15:41:38 GMT 2020,0.1,199297
Thu Aug  6 15:41:39 GMT 2020,0.1,199421
Thu Aug  6 15:41:39 GMT 2020,0.1,199612
Thu Aug  6 15:41:40 GMT 2020,0.1,199720
Thu Aug  6 15:41:41 GMT 2020,0.1,199824
Thu Aug  6 15:41:42 GMT 2020,0.1,199920
Thu Aug  6 15:41:43 GMT 2020,0.1,200036
Thu Aug  6 15:41:44 GMT 2020,0.1,200427
Thu Aug  6 15:41:44 GMT 2020,0.1,200411
Thu Aug  6 15:41:45 GMT 2020,46,200369
Thu Aug  6 15:41:46 GMT 2020,46,201289
Thu Aug  6 15:41:47 GMT 2020,46,203222
Thu Aug  6 15:41:48 GMT 2020,46,205610
Thu Aug  6 15:41:48 GMT 2020,46,205594
Thu Aug  6 15:41:49 GMT 2020,46,205370
Thu Aug  6 15:41:50 GMT 2020,46,204666
Thu Aug  6 15:41:51 GMT 2020,46,204718
Thu Aug  6 15:41:52 GMT 2020,46,204870
Thu Aug  6 15:41:53 GMT 2020,46,204842
Thu Aug  6 15:41:54 GMT 2020,46,204618
Thu Aug  6 15:41:54 GMT 2020,46,204774
Thu Aug  6 15:41:55 GMT 2020,46,204738
Thu Aug  6 15:41:56 GMT 2020,46,204743
Thu Aug  6 15:41:57 GMT 2020,46,204747
Thu Aug  6 15:41:58 GMT 2020,46,204751
Thu Aug  6 15:41:58 GMT 2020,46,204761
Thu Aug  6 15:41:59 GMT 2020,0.1,203590
Thu Aug  6 15:42:00 GMT 2020,0.1,204650
Thu Aug  6 15:42:01 GMT 2020,0.1,204678
Thu Aug  6 15:42:02 GMT 2020,0.1,236086
Thu Aug  6 15:42:02 GMT 2020,0.1,208086
Thu Aug  6 15:42:03 GMT 2020,0.1,209226
Thu Aug  6 15:42:04 GMT 2020,0.1,208878
Thu Aug  6 15:42:05 GMT 2020,0.1,208876
Thu Aug  6 15:42:06 GMT 2020,0.1,208970
Thu Aug  6 15:42:07 GMT 2020,0.1,209339
Thu Aug  6 15:42:08 GMT 2020,0.1,209492
Thu Aug  6 15:42:09 GMT 2020,0.1,208003
Thu Aug  6 15:42:10 GMT 2020,0.1,209175
Thu Aug  6 15:42:11 GMT 2020,0.1,225185
Thu Aug  6 15:42:12 GMT 2020,0.1,211893
Thu Aug  6 15:42:13 GMT 2020,0.1,211969
Thu Aug  6 15:42:14 GMT 2020,0.1,212049
Thu Aug  6 15:42:15 GMT 2020,0.1,212033
Thu Aug  6 15:42:16 GMT 2020,0.1,211765
Thu Aug  6 15:42:16 GMT 2020,0.1,211945
Thu Aug  6 15:42:17 GMT 2020,0.1,211937
Thu Aug  6 15:42:18 GMT 2020,0.1,211941
Thu Aug  6 15:42:19 GMT 2020,0.1,211945
Thu Aug  6 15:42:20 GMT 2020,0.1,211937
Thu Aug  6 15:42:21 GMT 2020,0.1,211911
Thu Aug  6 15:42:22 GMT 2020,0.1,197071
Thu Aug  6 15:42:23 GMT 2020,0.1,217375
Thu Aug  6 15:42:24 GMT 2020,0.1,218383
Thu Aug  6 15:42:25 GMT 2020,0.1,218175
Thu Aug  6 15:42:26 GMT 2020,0.1,217081
Thu Aug  6 15:42:27 GMT 2020,0.1,262983
Thu Aug  6 15:42:28 GMT 2020,0.1,216949
Thu Aug  6 15:42:29 GMT 2020,0.1,217191
Thu Aug  6 15:42:30 GMT 2020,0.1,215561
Thu Aug  6 15:42:31 GMT 2020,0.1,216214
