STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",2031,0,0,0,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",2292,0,0,0,True
"TfprPrefetchingStrategy",3438,0,0,0,True
"TfprPrefetchingStrategy",5549688,0,1,1,True
"TfprPrefetchingStrategy",1354,0,0,0,True
"TfprPrefetchingStrategy",715365,0,1,1,True
"TfprPrefetchingStrategy",858333,0,1,1,True
"TfprPrefetchingStrategy",559948,0,1,1,True
"TfprPrefetchingStrategy",990,0,0,0,True
"TfprPrefetchingStrategy",1137917,0,1,1,True
"TfprPrefetchingStrategy",2135,0,0,0,True
"TfprPrefetchingStrategy",9115,0,0,0,True
"TfprPrefetchingStrategy",1666,0,0,0,True
"TfprPrefetchingStrategy",1173958,0,1,1,True
"TfprPrefetchingStrategy",2292,0,0,0,True
"TfprPrefetchingStrategy",1206459,0,1,2,True
"TfprPrefetchingStrategy",1021667,0,1,1,True
"TfprPrefetchingStrategy",801458,0,1,1,True
"TfprPrefetchingStrategy",2604,0,0,0,True
