Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
62,2333264,63,0,0,28,18
127,2333980,128,0,0,126,32
228,2333892,228,0,0,227,32
328,2333668,328,0,0,327,15
434,2333612,436,0,0,431,6
530,2335100,531,0,0,528,17
640,2335380,641,0,0,636,17
729,2335664,729,0,0,728,19
830,2335024,830,0,0,829,6
931,2335812,931,0,0,930,15
1031,2336368,1031,0,0,1030,19
1131,2336368,1131,0,0,1130,16
1232,2335780,1233,0,0,1231,1
1333,2335868,1333,0,0,1332,16
1433,2336076,1434,0,0,1433,15
1533,2336024,1533,0,0,1532,12
1634,2335828,1634,0,0,1633,5
1735,2336632,1735,0,0,1734,14
1835,2336676,1835,0,0,1834,14
1935,2336480,1935,0,0,1934,16
2036,2336088,2036,0,0,2035,7
2137,2336596,2138,0,0,2136,6
2237,2336848,2238,0,0,2236,18
2338,2337104,2338,0,0,2337,18
2438,2336788,2438,0,0,2437,6
2539,2336904,2540,0,0,2538,10
2640,2337368,2640,0,0,2639,16
2739,2337368,2740,0,0,2739,19
2840,2336780,2840,0,0,2839,10
2941,2337224,2942,0,0,2940,9
3041,2337788,3042,0,0,3040,17
3141,2337988,3142,0,0,3141,15
3242,2337596,3242,0,0,3241,12
3344,2337400,3344,0,0,3343,5
3393,2337544,3394,0,0,3392,17
3493,2337564,3493,0,0,3492,15
3593,2338844,3593,0,0,3593,29
3693,2337508,3694,0,0,3693,24
3794,2338720,3794,0,0,3793,24
3894,2339996,3894,0,0,3893,26
3995,2340348,3995,0,0,3994,23
4096,2341816,4096,0,0,4095,19
4196,2343368,4196,0,0,4195,23
4296,2344976,4296,0,0,4295,33
4396,2349072,4397,0,0,4396,15
4497,2359504,4497,0,0,4496,25
4597,2338024,4597,0,0,4596,42
4697,2336932,4697,0,0,4697,13
4797,2337668,4798,0,0,4797,16
4899,2343820,4899,0,0,4898,27
4999,2343820,5000,0,0,4999,17
5100,2343444,5100,0,0,5099,11
5201,2345728,5201,0,0,5200,27
5300,2346652,5301,0,0,5300,33
5401,2363504,5402,0,0,5400,25
5502,2377508,5503,0,0,5501,18
5602,2378888,5602,0,0,5601,25
5702,2379484,5703,0,0,5702,24
5803,2378124,5803,2833458,2833458,5802,29
5904,2378796,5904,2833458,2833458,5903,19
6004,2378960,6004,2833458,2833458,6003,24
6104,2379352,6104,2833458,2833458,6103,22
6205,2378764,6206,2833458,2833458,6204,18
