request_host,request_path,request_url,request_port,request_method,request_scheme,request_http_version,request_timestamp_start,request_timestamp_end,request_duration,request_header_user_agent,request_header_x_requested_with,response_size,response_http_version,response_status_code,response_reason,response_timestamp_start,response_timestamp_end,response_duration
api.onesignal.com,/apps/94a38ed3-22d3-4067-bf72-83ab26cea1ab/android_params.js,api.onesignal.com/apps/94a38ed3-22d3-4067-bf72-83ab26cea1ab/android_params.js,443,GET,https,HTTP/1.1,1595958248.3933616,1595958248.3959906,0.0026290416717529297,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,161,HTTP/1.1,200,OK,1595958248.7743573,1595958248.7825916,0.008234262466430664
api.onesignal.com,/apps/94a38ed3-22d3-4067-bf72-83ab26cea1ab/android_params.js?player_id=1178fe6c-df24-4320-9902-75bc679805b1,api.onesignal.com/apps/94a38ed3-22d3-4067-bf72-83ab26cea1ab/android_params.js?player_id=1178fe6c-df24-4320-9902-75bc679805b1,443,GET,https,HTTP/1.1,1595958288.9348829,1595958288.9391112,0.004228353500366211,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,0,HTTP/1.1,304,Not Modified,1595958288.9603202,1595958288.9678683,0.007548093795776367
api-hillfair-2k16.herokuapp.com,/api/app/events/special,api-hillfair-2k16.herokuapp.com/api/app/events/special,443,GET,https,HTTP/1.1,1595958292.2280529,1595958292.2304454,0.0023925304412841797,okhttp/3.14.8,NA,554,HTTP/1.1,200,OK,1595958292.5585523,1595958292.5654106,0.006858348846435547
api-hillfair-2k16.herokuapp.com,/photos/miss-world.png,api-hillfair-2k16.herokuapp.com/photos/miss-world.png,443,GET,https,HTTP/1.1,1595958293.1548574,1595958293.1654053,0.010547876358032227,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,10053,HTTP/1.1,200,OK,1595958293.281533,1595958293.2897613,0.008228302001953125
api-hillfair-2k16.herokuapp.com,/photos/theater.png,api-hillfair-2k16.herokuapp.com/photos/theater.png,443,GET,https,HTTP/1.1,1595958293.1527002,1595958293.1703103,0.01761007308959961,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,12245,HTTP/1.1,200,OK,1595958293.3005857,1595958293.303502,0.0029163360595703125
api-hillfair-2k16.herokuapp.com,/photos/wedding-couple.png,api-hillfair-2k16.herokuapp.com/photos/wedding-couple.png,443,GET,https,HTTP/1.1,1595958293.1544893,1595958293.1847184,0.03022909164428711,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,12856,HTTP/1.1,200,OK,1595958293.3132007,1595958293.316163,0.002962350845336914
api-hillfair-2k16.herokuapp.com,/photos/acoustic-guitar.png,api-hillfair-2k16.herokuapp.com/photos/acoustic-guitar.png,443,GET,https,HTTP/1.1,1595958293.1564596,1595958293.1704514,0.013991832733154297,Dalvik/2.1.0 (Linux; U; Android 6.0; Nexus 6P Build/MDB08K),NA,15600,HTTP/1.1,200,OK,1595958293.398749,1595958293.4017978,0.0030486583709716797
api-hillfair-2k16.herokuapp.com,/api/app/events/special/event?id=5806551bdcba0f490c70fd1f,api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=5806551bdcba0f490c70fd1f,443,GET,https,HTTP/1.1,1595958301.5577846,1595958301.5635982,0.0058135986328125,okhttp/3.14.8,NA,795,HTTP/1.1,200,OK,1595958301.9039378,1595958301.9212785,0.017340660095214844
api-hillfair-2k16.herokuapp.com,/api/app/events/special/event?id=580655cddcba0f490c70fdd0,api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=580655cddcba0f490c70fdd0,443,GET,https,HTTP/1.1,1595958315.1798236,1595958315.1823177,0.0024940967559814453,okhttp/3.14.8,NA,721,HTTP/1.1,200,OK,1595958315.503187,1595958315.5164902,0.013303279876708984
api-hillfair-2k16.herokuapp.com,/api/app/events/special/event?id=58065620dcba0f490c70fe09,api-hillfair-2k16.herokuapp.com/api/app/events/special/event?id=58065620dcba0f490c70fe09,443,GET,https,HTTP/1.1,1595958327.4573867,1595958327.4610102,0.003623485565185547,okhttp/3.14.8,NA,682,HTTP/1.1,200,OK,1595958327.7969995,1595958327.7997718,0.0027723312377929688
