--------- beginning of main
--------- beginning of system
08-05 11:12:23.194 32681   415 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-user
08-05 11:12:23.195 32681   415 D CustomInterceptor: HEADER REQUEST
08-05 11:12:23.195 32681   415 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:23.195 32681   415 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:23.195 32681   415 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '0', toString = 'LruCache[maxSize=100,hits=0,misses=0,hitRate=0%]', 
08-05 11:12:23.195 32681   415 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 11:12:23.247 32681   420 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/get-all-cities/10
08-05 11:12:23.247 32681   420 D CustomInterceptor: HEADER REQUEST
08-05 11:12:23.247 32681   420 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:23.247 32681   420 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:23.247 32681   420 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '1', toString = 'LruCache[maxSize=100,hits=0,misses=1,hitRate=0%]', 
08-05 11:12:23.247 32681   420 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 11:12:23.741 32681   444 D CustomInterceptor: NETWORK-PROVIDER https://project-travel-mate.herokuapp.com/api/number-of-unread-notifications
08-05 11:12:23.742 32681   444 D CustomInterceptor: HEADER REQUEST
08-05 11:12:23.742 32681   444 D CustomInterceptor: Authorization Token e817cf733b7893037942a7dc5507f3c5a98408e6
08-05 11:12:23.742 32681   444 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 11:12:23.742 32681   444 D CustomInterceptor: CACHED STATS: size = '0', maxSize = '100', hitCount = '0', createCount = '0', putCount = '0', evictionCount = '0', missCount = '2', toString = 'LruCache[maxSize=100,hits=0,misses=2,hitRate=0%]', 
08-05 11:12:23.742 32681   444 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 11:12:23.886 32681   415 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
